"Offense","Offense Conference","Defense","Defense Conference","Game Id","Id","Drive Number","Scoring","Start Period","Start Yardline","Start Yards To Goal","Start Time Minutes","Start Time Seconds","End Period","End Yardline","End Yards To Goal","End Time Minutes","End Time Seconds","Elapsed Minutes","Elapsed Seconds","Plays","Yards","Drive Result","Is Home Offense","Start Offense Score","Start Defense Score","End Offense Score","End Defense Score"
"California","Pac-12","Washington","Pac-12","401524018","4015240182","2","true","1","81","81","12","37","1","65","65","9","13","3","24","6","16","PUNT RETURN TD","false","0","7","0","14"
"California","Pac-12","Washington","Pac-12","401524018","4015240183","3","true","1","75","75","9","13","1","0","0","5","52","3","21","8","75","TD","false","0","14","6","14"
"Washington","Pac-12","California","Pac-12","401524018","4015240184","4","true","1","27","73","5","52","1","100","0","2","19","3","33","7","73","TD","true","14","6","21","6"
"California","Pac-12","Washington","Pac-12","401524018","4015240185","5","false","1","75","75","2","19","1","73","73","1","33","0","46","3","2","INT","false","6","21","6","21"
"Washington","Pac-12","California","Pac-12","401524018","4015240186","6","true","1","73","27","1","33","1","76","24","0","37","0","56","4","3","FG","true","21","6","24","6"
"California","Pac-12","Washington","Pac-12","401524018","4015240187","7","false","1","75","75","0","37","2","72","72","14","9","1","28","3","3","PUNT","false","6","24","6","24"
"Washington","Pac-12","California","Pac-12","401524018","4015240188","8","true","2","25","75","14","9","2","100","0","11","27","2","42","5","75","TD","true","24","6","31","6"
"California","Pac-12","Washington","Pac-12","401524018","4015240189","9","true","2","80","80","11","27","2","0","0","9","0","2","27","7","80","TD","false","6","31","12","31"
"Washington","Pac-12","California","Pac-12","401524018","40152401810","10","false","2","9","91","9","0","2","16","84","7","27","1","33","3","7","INT","true","31","12","31","12"
"California","Pac-12","Washington","Pac-12","401524018","40152401811","11","false","2","37","37","7","27","2","37","37","7","10","0","17","1","0","INT","false","12","31","12","31"
"Washington","Pac-12","California","Pac-12","401524018","40152401812","12","true","2","52","48","7","10","2","100","0","4","8","3","2","6","48","TD","true","31","12","38","12"
"California","Pac-12","Washington","Pac-12","401524018","40152401813","13","false","2","100","100","4","8","2","50","50","1","32","2","36","8","25","PUNT","false","12","38","12","38"
"Washington","Pac-12","California","Pac-12","401524018","40152401814","14","true","2","20","80","1","32","2","100","0","0","44","0","48","6","80","TD","true","38","12","45","12"
"California","Pac-12","Washington","Pac-12","401524018","40152401815","15","false","2","75","75","0","44","2","60","60","0","0","0","44","2","15","END OF HALF","false","12","45","12","45"
"Washington","Pac-12","California","Pac-12","401524018","40152401816","16","true","3","32","68","15","0","3","100","0","11","28","3","32","7","68","TD","true","45","12","52","12"
"California","Pac-12","Washington","Pac-12","401524018","40152401817","17","false","3","72","72","11","28","3","67","67","9","45","1","43","3","5","PUNT","false","12","52","12","52"
"Washington","Pac-12","California","Pac-12","401524018","40152401818","18","false","3","17","83","9","45","3","77","23","4","37","5","8","7","60","DOWNS","true","52","12","52","12"
"California","Pac-12","Washington","Pac-12","401524018","40152401819","19","true","3","77","77","4","37","3","0","0","1","49","2","48","9","77","TD","false","12","52","19","52"
"Washington","Pac-12","California","Pac-12","401524018","40152401820","20","false","3","25","75","1","49","4","32","68","13","26","3","23","6","7","PUNT","true","52","19","52","19"
"California","Pac-12","Washington","Pac-12","401524018","40152401821","21","true","4","87","87","13","26","4","0","0","10","48","2","38","8","87","TD","false","19","52","25","52"
"Washington","Pac-12","California","Pac-12","401524018","40152401822","22","true","4","5","95","10","48","4","100","0","7","8","3","40","9","75","TD","true","52","25","59","25"
"California","Pac-12","Washington","Pac-12","401524018","40152401823","23","true","4","75","75","7","8","4","0","0","3","40","3","28","11","75","TD","false","25","59","32","59"
"Washington","Pac-12","California","Pac-12","401524018","40152401824","24","false","4","13","87","3","40","4","28","72","1","47","1","53","3","3","PUNT","true","59","32","59","32"
"California","Pac-12","Washington","Pac-12","401524018","40152401825","25","false","4","82","82","1","47","4","24","24","0","0","1","47","6","58","END OF GAME","false","32","59","32","59"
"Arizona","Pac-12","Washington","Pac-12","401524021","4015240211","1","false","1","25","75","15","0","1","26","74","13","1","1","59","3","1","PUNT","true","0","0","0","0"
"Washington","Pac-12","Arizona","Pac-12","401524021","4015240212","2","true","1","95","95","13","1","1","0","0","6","2","6","59","12","95","TD","false","0","0","7","0"
"Arizona","Pac-12","Washington","Pac-12","401524021","4015240213","3","false","1","11","89","5","20","1","24","76","3","51","1","29","4","13","PUNT","true","0","7","0","7"
"Washington","Pac-12","Arizona","Pac-12","401524021","4015240214","4","true","1","57","57","3","51","1","0","0","0","38","3","13","7","57","TD","false","7","0","14","0"
"Arizona","Pac-12","Washington","Pac-12","401524021","4015240215","5","true","1","25","75","0","38","2","100","0","9","31","6","7","12","75","TD","true","0","14","7","14"
"Washington","Pac-12","Arizona","Pac-12","401524021","4015240216","6","true","2","73","73","9","29","2","0","0","3","31","5","58","12","73","TD","false","14","7","21","7"
"Arizona","Pac-12","Washington","Pac-12","401524021","4015240217","7","true","2","25","75","3","31","2","87","13","0","23","3","8","12","62","FG","true","7","21","10","21"
"Washington","Pac-12","Arizona","Pac-12","401524021","4015240218","8","false","2","75","75","0","23","2","33","33","0","0","0","23","5","42","END OF HALF","false","21","10","21","10"
"Washington","Pac-12","Arizona","Pac-12","401524021","4015240219","9","false","3","75","75","15","0","3","73","73","13","19","1","41","3","2","PUNT","false","21","10","21","10"
"Arizona","Pac-12","Washington","Pac-12","401524021","40152402110","10","false","3","25","75","13","19","3","46","54","10","16","3","3","4","21","PUNT","true","10","21","10","21"
