t,stim,y0,y1,y2,y3
0.008340605,-0.48,0,0,0,0
0.01668121,0.48,0,0,0,0
0.025021814999999996,0.48,1,1,0,0
0.03336242,0.48,0,0,0,0
0.041703025,-0.48,0,0,0,0
0.05004362999999999,0.48,0,0,1,1
0.05838423499999999,0.48,0,0,1,1
0.06672484,0.48,0,0,1,1
0.075065445,0.48,0,0,0,0
0.08340605,0.48,0,0,0,1
0.091746655,-0.48,0,0,1,1
0.10008725999999998,0.48,0,0,1,1
0.10842786499999998,0.48,0,0,0,0
0.11676846999999999,0.48,0,0,0,0
0.125109075,-0.48,0,0,0,0
0.13344968,0.48,0,0,1,1
0.141790285,0.48,0,0,1,1
0.15013089,0.48,0,0,0,1
0.158471495,0.48,0,0,0,0
0.1668121,0.48,0,0,1,0
0.175152705,-0.48,0,0,1,1
0.18349331,-0.48,0,0,1,1
0.191833915,-0.48,0,0,1,1
0.20017451999999997,-0.48,1,1,0,0
0.20851512499999997,-0.48,1,1,0,0
0.21685572999999997,-0.48,1,1,0,0
0.22519633499999997,0.48,1,0,0,0
0.23353693999999997,-0.48,0,0,0,0
0.24187754499999997,0.48,0,1,0,0
0.25021815,-0.48,1,0,0,0
0.258558755,-0.48,0,0,0,0
0.26689936,0.48,0,0,0,0
0.275239965,0.48,0,1,0,0
0.28358057,0.48,0,0,0,0
0.291921175,0.48,0,0,0,0
0.30026178,0.48,0,0,1,0
0.308602385,0.48,0,0,1,1
0.31694299,-0.48,0,0,1,1
0.325283595,0.48,0,0,1,1
0.3336242,0.48,0,0,1,0
0.341964805,-0.48,0,0,0,0
0.35030541,-0.48,0,0,0,0
0.358646015,0.48,0,0,0,1
0.36698662,0.48,1,0,0,1
0.375327225,0.48,1,0,0,0
0.38366783,0.48,0,0,0,0
0.392008435,0.48,0,0,0,1
0.40034903999999993,0.48,0,0,1,1
0.40868964499999993,0.48,0,0,1,1
0.41703024999999994,-0.48,0,0,0,0
0.42537085499999994,-0.48,0,0,1,0
0.43371145999999994,-0.48,0,0,1,1
0.44205206499999994,-0.48,1,0,0,0
0.45039266999999994,0.48,1,0,0,0
0.45873327499999994,-0.48,1,0,0,0
0.46707387999999994,0.48,1,0,0,0
0.47541448499999994,-0.48,1,1,0,0
0.48375508999999994,-0.48,0,0,0,0
